"method","sim_id","fold","c_index","auprc","mrr","ef_at_1pct","ef_at_5pct","ef_at_10pct","precision_at_1pct","precision_at_5pct","precision_at_10pct","recall_at_1pct","recall_at_5pct","recall_at_10pct","mcc_at_1pct","mcc_at_5pct","mcc_at_10pct","runtime","n","p","n_main","n_int","beta_main","beta_int","censparam","lambda"
"LASSO-sNPDR",3,1,NA,0.0169874767502468,0.0125,0,0,10,0,0,0.2,0,0,1,-0.0143576830751316,-0.0327736762672231,0.428571428571429,74.137,500,1000,0,10,0,0,NA,NA
"Cox",3,1,NA,0.0280353452474531,0.1,5,3,1.5,0.1,0.06,0.03,0.05,0.15,0.15,0.0574307323005264,0.0655473525344462,0.0238095238095238,5.20699999999999,500,1000,0,10,0,0,NA,NA
"SVM",3,1,NA,0.0246678580762554,0.0909090909090909,0,2,1.5,0,0.04,0.03,0,0.1,0.15,-0.0143576830751316,0.0327736762672231,0.0238095238095238,59.971,500,1000,0,10,0,0,NA,NA
"sNPDR-absolute",3,2,NA,0.0340481231955931,0.25,5,2,1,0.1,0.04,0.02,0.05,0.1,0.1,0.0574307323005264,0.0327736762672231,0,233.691,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",3,2,NA,0.0215772471535509,0.03125,0,1,0.5,0,0.02,0.01,0,0.05,0.05,-0.0143576830751316,0,-0.0238095238095238,264.378,500,1000,0,10,0,0,NA,NA
"LASSO-sNPDR",3,2,NA,0.0190441035586523,0.0357142857142857,0,1,10,0,0.02,0.2,0,0.05,1,-0.0143576830751316,0,0.428571428571429,41.904,500,1000,0,10,0,0,NA,NA
"Cox",3,2,NA,0.0234143900678949,0.0434782608695652,0,2,1.5,0,0.04,0.03,0,0.1,0.15,-0.0143576830751316,0.0327736762672231,0.0238095238095238,36.184,500,1000,0,10,0,0,NA,NA
"LASSO-Cox",3,2,NA,0.02,0.0333333333333333,0,1,0.5,0,0.02,0.01,0,0.05,0.05,-0.0143576830751316,0,-0.0238095238095238,117.013,500,1000,0,10,0,0,NA,NA
"sNPDR-absolute",3,3,NA,0.0766623130244651,1,5,1,1.5,0.1,0.02,0.03,0.05,0.05,0.15,0.0574307323005264,0,0.0238095238095238,97.125,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",3,3,NA,0.0246273081371775,0.032258064516129,0,1,2,0,0.02,0.04,0,0.05,0.2,-0.0143576830751316,0,0.0476190476190476,184.211,500,1000,0,10,0,0,NA,NA
"LASSO-sNPDR",3,3,NA,0.0183447806313096,0.0169491525423729,0,0,10,0,0,0.2,0,0,1,-0.0143576830751316,-0.0327736762672231,0.428571428571429,50.0050000000001,500,1000,0,10,0,0,NA,NA
"Cox",3,3,NA,0.0278500977951363,0.0344827586206897,0,2,1.5,0,0.04,0.03,0,0.1,0.15,-0.0143576830751316,0.0327736762672231,0.0238095238095238,10.0179999999998,500,1000,0,10,0,0,NA,NA
"sNPDR-absolute",3,4,NA,0.0335398155476445,0.166666666666667,5,2,2,0.1,0.04,0.04,0.05,0.1,0.2,0.0574307323005264,0.0327736762672231,0.0476190476190476,382.665,500,1000,0,10,0,0,NA,NA
"sNPDR-signed",3,4,NA,0.0225865314858174,0.05,0,2,1.5,0,0.04,0.03,0,0.1,0.15,-0.0143576830751316,0.0327736762672231,0.0238095238095238,142.533,500,1000,0,10,0,0,NA,NA
"LASSO-sNPDR",3,4,NA,0.0208330549996881,0.0238095238095238,0,2,1,0,0.04,0.02,0,0.1,0.1,-0.0143576830751316,0.0327736762672231,0,31.6689999999999,500,1000,0,10,0,0,NA,NA
"Cox",3,4,NA,0.0256148862505802,0.1,5,3,1.5,0.1,0.06,0.03,0.05,0.15,0.15,0.0574307323005264,0.0655473525344462,0.0238095238095238,3.35800000000017,500,1000,0,10,0,0,NA,NA
"SVM",3,4,NA,0.0233522315738359,0.04,0,2,1.5,0,0.04,0.03,0,0.1,0.15,-0.0143576830751316,0.0327736762672231,0.0238095238095238,52.1480000000001,500,1000,0,10,0,0,NA,NA
"LASSO-Cox",3,4,NA,0.02,0.0208333333333333,0,1,1,0,0.02,0.02,0,0.05,0.1,-0.0143576830751316,0,0,98.9049999999997,500,1000,0,10,0,0,NA,NA
