"","Feature","Beta","P.Value"
"208","LOC285692.1",-1.52970008849892,0.0433748096323606
"209","RBL1",1.52668476794332,0.0874511677796168
"210","LOC285500",1.52450570541285,0.0476022682095678
"211","IL1F8",-1.52187919604434,0.0710340031106266
"212","RDH10.1",-1.52000669820039,0.221760203004001
"213","PEX5L.2",1.51961135074779,0.0292865869598781
"214","FAM63B.1",1.51886074628525,0.0962348485904685
"215","CCDC11",-1.51790659789935,0.0136844172770051
"216","FCRL4.2",1.51723630048356,0.0586305325678883
"217","CAPZA3",-1.51657025814199,0.0657709730194261
"218","MPZL3",1.51390280998469,0.0899680037462774
"219","EXOSC3.5",-1.51318666182521,0.00275658568606934
"220","LOC400958",-1.51064423117937,0.0369680952130593
"221","LOC100505598",-1.5100122318427,0.0357716381593926
"222","ACTR2.6",1.50982255931677,0.0800638816629677
"223","SORBS2",1.50973782126561,0.0343700617561792
"224","APBA1",-1.5087053797376,0.00362499724182567
