"","beta","Std. Error","z value","Pr(>|z|)","Feature","p.adj"
"DNAJC18",0.603271112017583,0.0284363010396278,21.2148236571587,6.96875582180412e-100,"DNAJC18",1.39375116436082e-95
"NRBF2",0.602741028777314,0.0256992042081454,23.4536845536359,1.21228617615829e-121,"NRBF2",2.42457235231658e-117
"KATNAL1.1",0.602034829623098,0.0209364938109781,28.7552841969852,7.77943449639652e-182,"KATNAL1.1",1.5558868992793e-177
"ZFYVE16.3",0.600846968706929,0.0278251628314033,21.5936550793089,2.06054524571996e-103,"ZFYVE16.3",4.12109049143992e-99
"HOOK3.2",0.600325416952969,0.0243628133411535,24.6410547315118,4.58948490830874e-134,"HOOK3.2",9.17896981661749e-130
"NKX3-2",0.59837275958684,0.0249173508719464,24.0143008244318,1.97154461419279e-127,"NKX3-2",3.94308922838557e-123
"SMC3.3",0.598202160561192,0.0255542419024454,23.4091139484732,3.45131366506734e-121,"SMC3.3",6.90262733013468e-117
"RASA1.1",0.596443214517522,0.0244208279535201,24.4235459851209,9.6159633084432e-132,"RASA1.1",1.92319266168864e-127
"KIAA0355",0.594901898173276,0.0241896580403741,24.5932330742479,1.49234928635819e-133,"KIAA0355",2.98469857271639e-129
"ATP2C1.3",0.593615557620758,0.0266286124683549,22.2923953820802,4.37923953822479e-110,"ATP2C1.3",8.75847907644958e-106
"LOC100506941",0.593221206185702,0.0261964369793371,22.6451103504502,1.55881849022533e-113,"LOC100506941",3.11763698045066e-109
"HIF1AN.1",0.592681285344575,0.0277955542629826,21.3228806210169,6.96373446132701e-101,"HIF1AN.1",1.3927468922654e-96
"APPL2",0.592538631485628,0.0245830188325112,24.1035747286656,2.29301871015e-128,"APPL2",4.58603742030001e-124
"NCRNA00081",0.59124805258267,0.0253877423405729,23.2887211730434,5.76813231569155e-120,"NCRNA00081",1.15362646313831e-115
"CCDC88A.5",0.590660993204627,0.0303327494846749,19.4727152414274,1.87086837780384e-84,"CCDC88A.5",3.74173675560768e-80
"SIRT4.1",0.589311816439021,0.0300849306675093,19.588272379682,1.94685192143377e-85,"SIRT4.1",3.89370384286753e-81
"IFT52",0.58930233033163,0.0256267835306073,22.99556359181,5.16295213337292e-117,"IFT52",1.03259042667458e-112
"RNF170.2",0.587360820116633,0.024965766474956,23.5266488095142,2.17723458614508e-122,"RNF170.2",4.35446917229017e-118
"DHX35.1",0.584200775416929,0.025157339428843,23.2218823087126,2.73733497084877e-119,"DHX35.1",5.47466994169753e-115
"WDR11",0.579268483310101,0.028878191080386,20.0590293795632,1.68337827343372e-89,"WDR11",3.36675654686744e-85
"MAP4K4.4",0.578982684791789,0.0264540514486329,21.8863521119261,3.50462675712003e-106,"MAP4K4.4",7.00925351424005e-102
"TMCC1.1",0.576910201080934,0.0220240575666862,26.1945465468441,3.06614147958716e-151,"TMCC1.1",6.13228295917432e-147
